geoid,name,power
06001,ELCapitan,29581
06001,Tuolumne,29581
47001,Frontier,24607
17043,Aurora,38698
06085,EosNVIDIA,5975
35028,Venado,1662
06001,Sierra,7438
06001,Perlmutter,2945
35001,ELDorado,1110
06085,Selene,2646
35028,CROSSROADS,6284
48201,discovery5,964
17043,polaris,672
06001,rzAdams,388
48453,Frontera,3366.08
51107,Yep1,777
25013,Kempner,2110
04013,Explorer-WUS3,1559
51760,Voyager-EUS2,7290
51117,Pioneer-EUS,4530
53025,Pioneer-WUS2,4530
48029,Pioneer-SCUS,4530
49035,BioHive2,3672 
47145,FrontierTDS,309
06001,Lassen,2400
12001,HiPerGatorAI,583 
08059,KestrelGPU,4150
06085,Cambridge,130
08059,KestrelCPU,1433.6
48453,Stampede2,1730
35001,Hops,2560
04013,Cactus,1150
51153,Dogwood,1150
35049,AmazonEC2,863.5
28149,Carpenter,1100
06085,DGX-2H,768
35001,Amber,1060
35001,stout,1491
06085,Aitken,2010
36083,aimos,512
28109,Narwhal,1350
28149,CATT,737
06001,Dane,672
06001,Bengal,672
36061,Minerva ,171
18157,Gautschi,168
17043,theta,2250
28149,onyx,2000
48201,SPR-HBM,1062
06099,rzVernal,243
36061,UltraViolet,900
08059,Eagle,1030
54061,Joule2,1010
49035,BioHive,2790  
06085,Pleiades,4407
16023,Sawtooth,1432
16019,Sawtooth,1432
16011,Sawtooth,1432
06085,electra,1686
25017,gaia,1436
39049,cardinal,83
39057​,Warhawk,4500
39057​,Raider,6750
39113​​,Raider,6750
06085,SaturnV,97
28045,nautilus,6100
08013,Cheyenne,1727
48201,Abel,1800
36061,Raphael,89.71
36061,Alpha,450
35001,Manzano,960
06001,Tioga,2250
08013,Derecho,169.03
17019,Apollo,724
06001,ruby,975
28105,orion,1760
54061,joule,1010
18157,anvil,969.6 
06001,tenaya,3500
25013,SEASH100,81
28149,topaz,5175
41013​,meta,350
22083,meta,350
06001,magma,887
39057​,Mustang,691
39113​,Mustang,691
06001,edison,6328
39057​,Thunder,4820
39113​,Thunder,4820
48453,IronMan, 1789.2 
48453,Medusa,53.6
54049,Hera,914
45077,Palmetto2,1173
45007,Palmetto2,1173
24025,jean,461
35001,attaway,750
36061,henri,44
28149,freeman,865
48041,Grace,538
06001,quartz,13620
06001,jade,13620
48453,Rattler,144
36055,Conesus,409
04013,Sol,173
53005,cascade,1384
17043,Improv,825
24025,Excalibur,1466
06073,Expanse,1009.6
24025,Kay,400
24033,Centennial,835
36061,GreeneH100,418.6
18105,BigRed200,390.4
25013,Cannon2,87
06085,SuperPOD,90
24025,Matlyn,207.36